siteid,code,status,name,site_type
23KEND52JUR19,FRFSMTM,INACTIVE,Fos Sur Mer Terminal,TERMINAL
4926826583653,RULED31P,ACTIVE,ZAO PERVAYA STIVIDORNAYA KOMPANIA,TERMINAL
1Q5FG69NZKW3J,USCHSPI,INACTIVE,Mount Pleasant,DEPOT
33584488X7G5B,,INACTIVE,Charlevoix  Mi,TO BE UPDATED
0SO9206RW9PX8,CN5H2TM,INACTIVE,Taicang Container Terminal,BARGE TERMINAL
BQAJUDFYRX9H1,ESMADTA,ACTIVE,Transportes Arranque,DEPOT
1PLGRQPIFEYRJ,USPEVTM,ACTIVE,PORT EVERGLADES TERMINAL LLC,TERMINAL
01NLKGFO5ZFJZ,VNVUNMT,INACTIVE,Vungtau,TERMINAL
34ZP745VAV911,ROMO3RR,INACTIVE,Campina Rail Terminal,RAIL TERMINAL
3PB3KHLPCONSV,GBSRP02,ACTIVE,Stratford Cfs,DEPOT
13HXXTG5O08AA,LUEEQRR,INACTIVE,Bettembourg Rail Terminal,RAIL TERMINAL
3RZQ4XS5LWQLX,MYSIPTM,ACTIVE,Sipitang,DEPOT
0J19AZ3422Q02,ESIRU01,ACTIVE,Irun Rail Terminal,RAIL TERMINAL
9753070501496,USFWO30P,INACTIVE,Oloc Facility Use For Chassis Cost,CUSTOMER LOCATION
1EXFTE802YB27,USDAOBT,ACTIVE,XPO Container Yard,DEPOT
3RG2EO52N569Q,USJAX34P,INACTIVE,Coleman American,CUSTOMER LOCATION
2RNFB8N2MO22N,KHPNHMP,INACTIVE,Mcc Transport - Paragon,TO BE UPDATED
3NYBFHYH6VSZJ,USPHL02,INACTIVE,Philadelphia,TO BE UPDATED
3HFTK8BJWGJ3H,AUFRE40P,ACTIVE,BAGULEYS ROUS HEAD,DEPOT
1Z1K1HS0TDEP3,JOAHZAIR,ACTIVE,Aqaba airport,DEPOT
1A7GM54RRGSZW,USFLZ30P,INACTIVE,Halls Warehouse,CUSTOMER LOCATION
HDGWNCGMW8FAW,INMAAWG,ACTIVE,Western Gateway Cargo Services,DEPOT
OXK0PZZLUIPEO,NGAPPUN,ACTIVE,Unity Bonded Terminal,TERMINAL
1428662716145,PHMNL41P,INACTIVE,REFCON ENTERPRISES COMPANY,DEPOT
KHRP9TA8PLZLQ,MYLPKMCY,ACTIVE,Malbartra Depot Sdn Bhd,DEPOT
BMDZITR3ADU1G,INJHTTG,ACTIVE,TG Terminals Pvt Ltd,CONTAINER FREIGHT STATION
24T4H97MRFG12,ZAJNBKC,INACTIVE,KCT Logistics,DEPOT
16PSUTULXADVG,MXMEXRR,INACTIVE,Ferrocarriles Nacionales Y Montevid,RAIL TERMINAL
39ZNSLDORZHJ3,,INACTIVE,Lisbon      Nh,TO BE UPDATED
304VVNH1BZK2M,NOKSUTM,INACTIVE,Kristiansund Terminal,TERMINAL
22GKH7EBGCNID,USNFK37P,INACTIVE,GTL Trucking,DEPOT
3USJNLX2X3A0V,TTSGOTM,INACTIVE,St George/Techmarine,TO BE UPDATED
04E1DSTS74YW0,NOODITM,INACTIVE,Odda Terminal,TERMINAL
2E8JEUCILJ93J,GEPTILO,ACTIVE,Logistex Ltd.,TERMINAL
K24RTVABMTFAR,LTVNOLR,ACTIVE,JSC Lithuanian Railways,TERMINAL
10EOPT8MOYR9A,,INACTIVE,Monteverde - Guayas,TO BE UPDATED
